family,status,readback,setpoint,device1,device2,element,pos
HCM,1,SR07A-PC-HSTR-07:I,SR07A-PC-HSTR-07:SETI,7,7,49,1.583235e+02
HCM,1,SR08A-PC-HSTR-01:I,SR08A-PC-HSTR-01:SETI,8,1,50,1.680665e+02
HCM,1,SR08A-PC-HSTR-02:I,SR08A-PC-HSTR-02:SETI,8,2,51,1.701665e+02
HCM,1,SR08A-PC-HSTR-03:I,SR08A-PC-HSTR-03:SETI,8,3,52,1.733825e+02
HCM,1,SR08A-PC-HSTR-04:I,SR08A-PC-HSTR-04:SETI,8,4,53,1.745200e+02
HCM,1,SR08A-PC-HSTR-05:I,SR08A-PC-HSTR-05:SETI,8,5,54,1.755575e+02
HCM,1,SR08A-PC-HSTR-06:I,SR08A-PC-HSTR-06:SETI,8,6,55,1.788735e+02
HCM,1,SR08A-PC-HSTR-07:I,SR08A-PC-HSTR-07:SETI,8,7,56,1.809735e+02
HCM,1,SR09S-PC-HSTR-01:I,SR09S-PC-HSTR-01:SETI,9.500000e+00,1,57,1.859496e+02
HCM,1,SR09S-PC-HSTR-02:I,SR09S-PC-HSTR-02:SETI,9.500000e+00,2,58,1.883732e+02
HCM,1,SR09A-PC-HSTR-01:I,SR09A-PC-HSTR-01:SETI,9,1,59,1.937165e+02
HCM,1,SR09A-PC-HSTR-02:I,SR09A-PC-HSTR-02:SETI,9,2,60,1.958165e+02
HCM,1,SR09A-PC-HSTR-03:I,SR09A-PC-HSTR-03:SETI,9,3,61,1.990325e+02
HCM,1,SR09A-PC-HSTR-04:I,SR09A-PC-HSTR-04:SETI,9,4,62,2.001700e+02
HCM,1,SR09A-PC-HSTR-05:I,SR09A-PC-HSTR-05:SETI,9,5,63,2.012075e+02
HCM,1,SR09A-PC-HSTR-06:I,SR09A-PC-HSTR-06:SETI,9,6,64,2.045235e+02
HCM,1,SR09A-PC-HSTR-07:I,SR09A-PC-HSTR-07:SETI,9,7,65,2.066235e+02
HCM,1,SR10A-PC-HSTR-01:I,SR10A-PC-HSTR-01:SETI,10,1,66,2.163665e+02
HCM,1,SR10A-PC-HSTR-02:I,SR10A-PC-HSTR-02:SETI,10,2,67,2.184665e+02
HCM,1,SR10A-PC-HSTR-03:I,SR10A-PC-HSTR-03:SETI,10,3,68,2.216825e+02
